Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0001686,1,1,1,1,0
OG0001695,1,1,1,1,0
OG0001697,1,1,1,0,0
OG0001699,1,1,0,0,0
OG0001701,1,1,1,1,0
OG0001703,1,1,1,1,0
OG0001707,1,1,1,1,0
OG0001717,1,1,1,1,0
OG0001718,1,1,0,0,0
OG0001720,1,1,1,1,0
OG0001724,1,0,0,0,0
OG0001730,1,1,1,1,0
OG0001734,1,1,1,1,0
OG0001736,1,1,1,1,1
OG0001737,1,1,1,0,0
OG0001739,1,1,1,1,0
OG0001740,1,1,1,1,1
OG0001741,1,1,1,1,1
OG0001742,1,1,0,0,0
OG0001744,1,1,1,1,0
OG0001745,1,1,1,1,0
OG0001746,1,1,1,1,0
OG0001748,1,0,0,0,0
OG0001749,1,1,1,1,1
OG0001755,1,1,1,1,0
OG0001756,1,1,1,1,0
OG0001759,1,0,0,0,0
